Name,Points,Position,School
Landon Lindgren,26.2,RB/DB,Lamoni
Landon Montag,15.94,RB/LB,West Bend-Mallard
Landon Waldschmitt,0.0,QB/DB,Remsen St. Mary's
Landon Wittrock,1.4,SL/LB,Harris-Lake Park
Landyn Ankrum,0.0,RB/LB,HLV
Lane Genkinger,0.0,RB/LB,Winfield-Mt Union
Lane Oswalt,0.0,WR/DB,Collins-Maxwell
Lane Vokoun,11.9,RB/DB,Belle Plaine
Lars Taylor,0.0,TE/LB,Montezuma
Lawson Kling,0.9,,Fremont-Mills
Layne Mastin,0.0,OG/DE,East Mills
Ledger Dalton,0.0,WR/DB,Dunkerton
Leo Ehn,8.8,TE/LB,St. Edmond
Leo Schrader,0.0,QB/DB,Melcher-Dallas
Lerik McCarty,0.0,RB/LB,WACO
Levi Evans,0.0,TE/DE,Mormon Trail
Levi Halterman,0.0,RB/LB,Southeast Warren
Levi Reineke,2.2,LB/RB,Boyer Valley
Lincoln Albertson,0.0,RB/LB,Moravia
Logan Boldt,0.0,WR/LB,Tripoli
Logan Busta,17.24,QB/DB,Turkey Valley
Logan Franklin,1.6,WR/DB,New London
Logan French,12.9,WR/DB,Stanton
Logan Grimm,5.3,RB/LB,West Bend-Mallard
Logan Sharpe,0.0,RB/LB,Central Elkader
London Franklin,0.0,RB/DE,New London
Louden Huisenga,16.1,RB/LB,WACO
Lucas Ahrenstorff,40.54,QB/S,Harris-Lake Park
Lucas Christian,0.0,WR/S,Glidden-Ralston
Lucas Daggett,0.0,TE/LB,Colo-Nesco
Lucas Dirkx,0.0,TE/DE,Southeast Warren
Lucas Dow,0.0,RB/LB,Rockford
Lucas Frohwein,22.9,TE/DE,Colo-Nesco
Lucas Madison,36.8,,Fremont-Mills
Luke Brennan,12.12,QB/DB,Montezuma
Luke Cripps,32.4,QB/S,Boyer Valley
Luke Erselius,3.3,WR/DB,Montezuma
Luke Lansing,0.0,RB/LB,Springville
Luke Rohling,10.1,FB/LB,Calamus-Wheatland
MaKade Bloker,0.0,RB/LB,Clarksville
Maddox Jondle,0.0,QB/LB,Lone Tree
Makade Paulsen,3.0,QB/DB,CAM
Marco Avila,0.1,FB,Riceville
Mark Bower,2.2,RB/DB,Colo-Nesco
Mark Lensch,1.5,TE/LB,Glidden-Ralston
Marshawn Taylor,3.7,RB/CB,Rockford
Mason Ahrenstorff,0.0,WR/S,Harris-Lake Park
Mason Hoy,37.1,RB/CB,Springville
Mason Maschmann,0.0,RB/LB,BGM
Mason McIntosh,17.0,QB/LB,West Harrison
Mason Steinhoff,0.0,RB/LB,Griswold
Mathew Lamkins,0.0,,Fremont-Mills
Matt Sauer,0.9,TE/DE,Midland
Matthew Klostermann,16.5,RB/LB,Central City
Max Carlson,0.0,QB/LB,Newell-Fonda
Max Fettkether,0.0,RB/LB,Central Elkader
Max Henstorf,8.7,QB/LB,HLV
Mayson Hemsted,0.0,WR/DB,Lone Tree
McKoy Nuss,36.82,QB/LB,Tripoli
Mekhi Benton,9.7,TE/DE,Central City
Micah Moores,0.0,RB/LB,Woodbine
Michael Hensley,30.7,RB/LB,Sidney
Michael Raines,0.0,TE/LB,New London
Milton Cushion,0.0,RB/DB,West Central
Mitch Stevens,2.4,TE/LB,West Bend-Mallard
Morgan Cooley,0.0,OL/DL,East Union
Myles Grove,0.0,QB/LB,English Valleys
Nate Smith,0.0,RB/DB,Collins-Maxwell
Nathan Findlay,0.0,RB/LB,BGM
Nathan Moon,0.0,RB/LB,Clarksville
Noah Connelly,0.2,WR/DB,Kee
Nolan Birdsall,19.2,RB/LB,West Harrison
Nolan Cushion,6.9,TE/DE,West Central
Nolan Gannon,4.6,RB/LB,Murray
Nolan Grebin,12.9,QB/S,Stanton
Nolan Kriegel,41.12,QB/DB,Iowa Valley
Oliver Longerbeam,0.0,QB/DB,Springville
Oliver Schmitt,25.56,FB,Turkey Valley
Owen Ary,2.4,TE/LB,Iowa Valley
Owen Backer,0.0,RB/S,Clarksville
Owen Bral,22.6,QB/LB,Iowa Valley
Owen Garside,28.66,S/QB,Boyer Valley
Owen Hammersland,0.0,RB/LB,Central Elkader
Owen Johnson,0.0,RB/DE,Griswold
Owen Murphy,0.0,WR/S,Bishop Garrigan
Parker Fister,0.5,RB/DB,Exira-EHK
Parker Hays,9.7,RB/DB,Coon Rapids-Bayard
Perrin Sulzle,25.78,QB/LB,Baxter
Peter Kielman,0.0,TE/LB,Clarksville
Pryce Rochford,20.02,QB,Edgewood-Colesburg
Quintin White,8.7,WR/DB,Exira-EHK
Rason Grail,9.1,WR/DB,East Union
Reagan Richardson,0.0,RB,Riceville
Reece Chiabotta,0.0,QB/DB,Melcher-Dallas
Reece Oswald,1.1,RB/CB,WACO
Reed Oswalt,7.6,WR/DB,Collins-Maxwell
Rider Kupka,14.3,,GMG
Riley Garrett,0.0,RB/DL,Dunkerton
Riley Raines,0.5,RB/LB,New London
Riley Simmons,17.2,E/DE,Belle Plaine
Robert Beardsley,0.0,WR/DB,Southeast Warren
Rocky Johnson,0.0,RB/DB,Melcher-Dallas
Rogellio Gonzalez,0.0,FB/DB,West Central
Ryan Heaton,0.0,FB/DE,Melcher-Dallas
Ryker Hoffman,9.4,WR/CB,Rockford
Rylan Behrends,1.0,RB/LB,Sidney
Sam DeMeulenaere,23.9,E/LB,Belle Plaine
Sam Fettkether,0.0,OL/LB,Central Elkader
Sam Hoodjer,0.0,WR/CB,Clarksville
Sam Myer,0.0,LB/RB,St. Edmond
Sam Plathe,0.0,WR/CB,Bishop Garrigan
Sam Schmillen,0.0,WR/LB,Remsen St. Mary's
Samuel Dascher,1.2,TE/CB,Calamus-Wheatland
Sawyer Forney,26.62,,Fremont-Mills
Sawyer House,0.0,WR/CB,Midland
Sean McCulloch,0.7,QB/DB,HLV
Seth Bell,0.0,QB/DB,Collins-Maxwell
Seth Bixler,8.2,WR/S,Midland
Seth Hudson,8.3,QB/S,East Union
Seth McMurry,3.1,TE/LB,Murray
Shane Helmick,40.26,QB/DE,Moravia
Sheldon Vandenberg,0.8,OG/LB,East Mills
Silas Walston,22.4,RB/DE,Bedford
Simon Showalter,11.9,RB/LB,Stanton
Slate Witte,0.0,,GMG
Stadan Vansice,5.9,WR/LB,Baxter
Talan Driscoll,19.5,C/DE,Easton Valley
Talan Jacobsen,0.0,QB/LB,North Iowa
Talan Pletz,8.4,RB/LB,Janesville
Tanner Troendle,23.9,RB/DB,Kee
Tate Foertsch,0.0,QB/DB,Bishop Garrigan
Tate Martin,0.0,RB/LB,BGM
Tate Mount,10.2,QB/DB,Sidney
Teagan Hanson,8.9,QB/S,GTRA
Terrian Islas,0.7,TE/DE,East Union
Titus Barber,0.0,OG/DE,Murray
Travis Luitjens,0.0,OG/DT,Harris-Lake Park
Travis Noel,0.9,DE/RB,Lamoni
Trayton Cink,0.0,RB/LB,Bishop Garrigan
Trent Robertson,0.0,WR/LB,North Iowa
Trenton Beard,0.1,OL/LB,Colo-Nesco
Trenton Struss,0.0,RB/S,Newell-Fonda
Trevor Forey,16.0,WR/S,Janesville
Trevor Tauber,0.0,QB/S,Newell-Fonda
Trey Cota,2.3,QB/LB,Kee
